Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
CC1CCCC(C)(C1)C2CCCCC2;1;0.000;1;0.00
c1ccc(cc1)CC2CC(C)(C)CCC2C;1;0.000;1;0.00
*C(=O)O[H];155;0.013;141;0.12
*C(=O)N(N=C)C(*)=O;1;0.000;1;0.00
c1ccc(cc1)cc2cCC(C)CC2c3ccccc3;1;0.000;1;0.00
ccc(c)CCC1C(C)CCC(C)C1CCC;1;0.000;1;0.00
CC(CCC1CCC(C)(C)CC1)C2(C)CCC3C(C)(C)CCCC3(C)C2C;13;0.001;13;0.01
c1ccc(c(c1)C)C;4;0.000;4;0.00
ccc(-c)cc;4;0.000;4;0.00
ccc(c)CCC(C)CCCC(C)C;1;0.000;1;0.00
*OC=CC=CC=CC=CC=C;1;0.000;1;0.00
CCC1CCC(C)(C)C1;1;0.000;1;0.00
cccc1cccc(c1)C;1;0.000;1;0.00
CCC1C2CCC3C4(C)CCCC(C)(C)C4CCC3(C)C2(C)CCC1(C)C;1;0.000;1;0.00
ccC(CC)CC;1;0.000;1;0.00
c1ccc(cc1)c(cC(C)C)CC;1;0.000;1;0.00
ccc(c)CCCC(CC)C(C)CC;1;0.000;1;0.00
CCCC1C(CC)C1(C)C;3;0.000;3;0.00
CCCC(C)C(C)(C)C;1;0.000;1;0.00
CC1CCCC(C)(C)C1;2;0.000;2;0.00
c1ccc(cc1)c(cC)CC;4;0.000;4;0.00
CC(C)C1CCC2(C)C3CCC4C(C)(C)CCCC54CC35CCC12C;2;0.000;2;0.00
*C(=O)C(C(*)=O)=C(O[H])N(*)*;1;0.000;1;0.00
C=CC=CC=C;3;0.000;3;0.00
*OCO*;418;0.034;219;0.18
C1CCCCC1;11;0.001;11;0.01
*C(=O)C1OC1C=C;2;0.000;2;0.00
CCC1(C)CCC2C(CCC3CCCCC32C)C1;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCCCC;2;0.000;2;0.00
c1ccc2cc3cc(ccc3cc2c1)C;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCCC32CCCC3;1;0.000;1;0.00
CCCCCCCCCC(C)C(C)CCCCCC;1;0.000;1;0.00
CCCC(C)(CCC)CCC(CC)CC;1;0.000;1;0.00
*C(=O)N(*)C(=C)C(=O)N(*)*;1;0.000;1;0.00
N(=C)C=C;1;0.000;1;0.00
ccc(c)CCC(C)(CC)C(CC)C(C)C;1;0.000;1;0.00
*[N]#N;1;0.000;1;0.00
ccc(c1ccccc1)-c2ccccc2;1;0.000;1;0.00
CCCC1C(C)CC2C(C)CC(C)CC12;1;0.000;1;0.00
c1ccc2c(c1)ccc3ccccc32;2;0.000;2;0.00
CCCCCCC(C)C;1;0.000;1;0.00
CCCCCCCCCCCCCCC;12;0.001;12;0.01
CCC1(C)CCC2(CCCC(C2)C(C)C34CCCCC5(CCCC(C)(CC)C5CC3)C4)C6(CCCC6)C1;1;0.000;1;0.00
CC1CCC(C)C(C)C1;1;0.000;1;0.00
[H]OC(=O)C=CC=C;2;0.000;2;0.00
c1ccc(cc1)C2(C)CC3(CCC)CCC2CC3;1;0.000;1;0.00
CCCCCCCCCCCCCCCCC1CCC2CCC(C)C2C1;1;0.000;1;0.00
CCCC(C)CCCCC(C)C;1;0.000;1;0.00
c1ccc(cc1)Cc2cccc3-c4cc(ccc4CCc32)-c5cccc6c7ccccc7ccc56;1;0.000;1;0.00
CCCC(C)(C)CC1(C)CCCC(C)(C)C1;1;0.000;1;0.00
ccc(c)CCC(C(C)CC)C1(C)CCCC(C)(C)C1;1;0.000;1;0.00
CCC1C(C)(CCC2C(C)(C)CCCC12C)C(C)CCC(C)CCC(C)(C)C;1;0.000;1;0.00
c-c1ccccc1C;1;0.000;1;0.00
CC1CCC2C1CCC2(C)C;1;0.000;1;0.00
CCC(C)C1CCCC1C;1;0.000;1;0.00
*N(*)C=S;1;0.000;1;0.00
*N(*)C=O;3;0.000;3;0.00
ccc1ccc(cc1c)C2CCC(CCCCCCC)C2(C)CC;1;0.000;1;0.00
ccc(c)CC(CCC)CCC(CCC(C)CC)C(C)C(C)CCC(C)C1C(C)CCC1(CC)CCCC2(C)CCCC(C)C2;1;0.000;1;0.00
ccc1cccc(ccc-c2ccccc2)c1;1;0.000;1;0.00
*OCOC(*)=O;26;0.002;24;0.02
*C(=O)N(*)C(*)=O;5;0.000;5;0.00
*OC(=O)C=CC=CC=CC=CC=CC=CC=CC=C;1;0.000;1;0.00
c1ccc(cc1)CCCc2cccc(c2)C(CC)CCCCC;1;0.000;1;0.00
*N(*)C=C;1;0.000;1;0.00
c1ccc(cc1)C2CCCCCC3CCCCC23;1;0.000;1;0.00
c1ccc(cc1)CC(C)CC;1;0.000;1;0.00
c1ccc(cc1)-c2cccc3ccccc32;1;0.000;1;0.00
*OCOCOC=CC(=O)O[H];2;0.000;2;0.00
c1cc(cc(c1)CCCC)C;1;0.000;1;0.00
CC(C)(C)CC(C)(C)C;1;0.000;1;0.00
C1CCC(CC1)CCCC2CCCCC2;1;0.000;1;0.00
*s*;17;0.001;13;0.01
c1cc(cc(c1)CCC(C)CC)C;2;0.000;1;0.00
ccc(c)C;2;0.000;2;0.00
CCCCCCCC(CC)CCCCCC;1;0.000;1;0.00
cc1ccccc1;3;0.000;3;0.00
CCCCC(CC)CC(C)C;1;0.000;1;0.00
c1ccc(cc1)C(C)CCC;1;0.000;1;0.00
cc(-c1ccccc1)c(c)-c2ccccc2;1;0.000;1;0.00
*OC1=CC(=O)C=CC1=O;2;0.000;2;0.00
*SSCN(*)*;1;0.000;1;0.00
ccc(c)CC(C)(CC)CC;1;0.000;1;0.00
*OC1OC(=O)C=C1;2;0.000;2;0.00
ccc(c)CC;1;0.000;1;0.00
*N1C(=O)C=CC1=CC2=NC(=C)C=C2;2;0.000;2;0.00
CCC1CCC2(C)C3CCC4CCCCC4(C)C3CCC12C;1;0.000;1;0.00
*OC(=C)C(*)=O;6;0.000;6;0.00
cc(c-c1ccccc1)CC;1;0.000;1;0.00
*C(=O)C=C(O[H])C(*)=O;4;0.000;4;0.00
CCCCCCCCCCCCCCCCC;4;0.000;3;0.00
CCCC1C(C)(C)CCC2(C)CC(C)CCC12C;1;0.000;1;0.00
ccc-cc;1;0.000;1;0.00
CCC1CCCC1(C)C;1;0.000;1;0.00
*OC(=O)C=COC(OCO*)C=C;1;0.000;1;0.00
*S[H];1;0.000;1;0.00
*C(=O)C=CC1OC1;1;0.000;1;0.00
cc(cc1ccccc1)-c2ccc(cc2)cc3ccccc3;1;0.000;1;0.00
c1ccc(cc1)CCCCC;4;0.000;3;0.00
cc(c1ccc(cc1)C)C(C)(C)CCc2cccc(c3ccc(cc3)C)c2C;1;0.000;1;0.00
cccc;16;0.001;15;0.01
CC(C)CCCC(C)CC1(C)CCC23CC43CCCC(C)(C)C4CCC2C1(C)C;1;0.000;1;0.00
CC1CCCCC1C;1;0.000;1;0.00
c1ccc2c(c1)CCC(C)C2;2;0.000;2;0.00
cc-c1ccccc1;2;0.000;2;0.00
*N(*)CN(*)*;3;0.000;3;0.00
[H]OC=CC=C;1;0.000;1;0.00
C(#CC=C)C=C;1;0.000;1;0.00
CC1CCCC2(C)C1CCC3CCCCC32;1;0.000;1;0.00
CC1CC23CCC4C(CCC4(C)C)C(C)C3CCC1C2;1;0.000;1;0.00
c1ccc2c(c1)CCC(C(C)C)C2(C)CC;1;0.000;1;0.00
cccC;2;0.000;2;0.00
CCCCCC1(C)CCCC(C)C1CC;1;0.000;1;0.00
cCCCC(CC)C(C)C;1;0.000;1;0.00
*SSS*;1;0.000;1;0.00
[H]ON=C;2;0.000;2;0.00
CCC1C(C)CCC2C1(C)CCC3C(C)(C)CCCC32C;1;0.000;1;0.00
c1ccc(cc1)c(ccC)c2cCC(C)(C)CC2;1;0.000;1;0.00
*C(=O)N1CC1;2;0.000;2;0.00
*C(=O)n(*)*;2;0.000;2;0.00
CCC(C)(C)C;1;0.000;1;0.00
CC1CCC(C)C1;2;0.000;2;0.00
cc(cc(cCC)C)C;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)C4CCC5(C)CCCC5C4CCC32;1;0.000;1;0.00
c-ccc1ccccc1;1;0.000;1;0.00
[H]OC(=O)C=C;16;0.001;16;0.01
*SS*;6;0.000;6;0.00
*SC(*)=O;2;0.000;2;0.00
CCC(C)C(C)C(C)C;1;0.000;1;0.00
*o*;211;0.017;191;0.16
*OC(=O)C(O*)=C;1;0.000;1;0.00
c1ccc(c(c1)cc2cccc(c2)C(C)(C)CC)C;1;0.000;1;0.00
CC1CCCCC1C2CCCC(C)(C)C2;1;0.000;1;0.00
CCC1C(CCC1(C)C)C(C)C;1;0.000;1;0.00
c1cc(ccc1C(C)C)C(C)CCCC(C)C;1;0.000;1;0.00
c1ccc(cc1)CCCCCCCCC;1;0.000;1;0.00
CCC1C(C)(C)CCC2C3(C)CCCC(C)(C)C3CCC12C;1;0.000;1;0.00
CCC(CC)C1(C)CCCC(C)(C)C1C;1;0.000;1;0.00
CC;274;0.022;204;0.17
c1ccc(cc1)C2CCC2c3ccccc3;1;0.000;1;0.00
c1ccc(cc1)c(cCCCC)CC;1;0.000;1;0.00
c1cc2cc(ccc2cc1-c3ccc4cc(ccc4c3)CC(C)C)CC(C)C;1;0.000;1;0.00
CC1CCC(C)(CCC(C)C2(C)CCC3C(C)(C)CCCC3(C)C2C)CC1C;1;0.000;1;0.00
cccccCCC;3;0.000;3;0.00
*OCOCOC#CC#CC#C;1;0.000;1;0.00
CCCCCC(C)CC;2;0.000;2;0.00
CCC1(C)C(CCC2(C)C1CCC3C4CC(C)(C)CCC4(C)CCC32C)C(C)C;1;0.000;1;0.00
*C(=O)C(=CO[H])C(=O)C=CO[H];1;0.000;1;0.00
CCCC1CCC(C)C1(C)CC;1;0.000;1;0.00
c1ccc(cc1)cc2cccc(c2)C(C)(C)CC;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)C2CCC4C5CCCC5(C)CCC43C;1;0.000;1;0.00
*C(=O)N(*)C(=S)N(*)*;1;0.000;1;0.00
*OCOC[N](*)(*)*;1;0.000;1;0.00
CCC1CC(C)(C)CCCC1C;1;0.000;1;0.00
O=C(C(Br)=C)C(Br)=C;1;0.000;1;0.00
CCCCC(C)CCC;4;0.000;4;0.00
c1ccc(cc1)CC(c2ccccc2)C;3;0.000;3;0.00
c1ccc(c(c1)C)CC;7;0.001;7;0.01
c1ccc(c(c1)C)CCCCCCCC;1;0.000;1;0.00
CCCCCCCCC(C)CC(C)CCCCCC(C)CCCC;2;0.000;1;0.00
c1ccc(cc1)CCc2cccc(c2)C;1;0.000;1;0.00
c1ccc(cc1)C(c2ccccc2)C;1;0.000;1;0.00
c1ccc(cc1)c(cCC)C;2;0.000;2;0.00
CCC(C)C1CCC2(C)C(CC)CCC2C1CC;1;0.000;1;0.00
c1ccc(cc1)Cc2cccc(c2)C;2;0.000;2;0.00
CCC1(C)CCCC2CC(C)(C)CC21;1;0.000;1;0.00
CCCCCC(C)(CC)CCC;1;0.000;1;0.00
CCC1CCC2(C)CCCC(C)C2CC1C;1;0.000;1;0.00
*OP(=O)(O*)O[H];5;0.000;4;0.00
C#CC#CC=C;4;0.000;4;0.00
CCCCCCCCCCCCCCCC;2;0.000;2;0.00
CC1CCC2C3CCC(C)(C3)CC12;1;0.000;1;0.00
c1ccc(c(c1)-c2cccc(c2)CC)C;1;0.000;1;0.00
[CH];1;0.000;1;0.00
ccc(ccCC)c1ccccc1;2;0.000;2;0.00
c1cc(cc(c1)CC)c(ccC)C;1;0.000;1;0.00
*C(=O)N(*)C=C;4;0.000;4;0.00
O=C(C=C)C(=C)C=CBr;1;0.000;1;0.00
c1cccc(c-c1)C;1;0.000;1;0.00
c1ccc(cc1)C(c2ccc3ccccc3c2)CCC;1;0.000;1;0.00
c1cc(ccc1CCCCCCCCC(C)C)CCCC(C)C;1;0.000;1;0.00
*N(*)C(=O)C=CC=C;2;0.000;2;0.00
c1ccc2c(c1)CCC3C2(C)CCCC3(C)C;1;0.000;1;0.00
c1cc2ccc(cc2c(c1)C)C(C)C;1;0.000;1;0.00
CC1CCC2C(C)(C)CCCC2(C)C1C;3;0.000;3;0.00
CCC1CCC2(C)C3CCC4C(C)(C)CCCC54CC35CCC12C;1;0.000;1;0.00
BrC=CC=C;1;0.000;1;0.00
c1ccc(cc1)C2CCCC(C)(CCCC3(C)CCCC3C(CC)C4CCCC(C)C(C)C4)C2;1;0.000;1;0.00
*N(*)C=CC#N;1;0.000;1;0.00
CCC(C)CCCC(C)C1CCC(C)(CC)C1;1;0.000;1;0.00
CC1CCCC2(C)C(C)C(C)(CCC12)C(C)CCC3(C)CCC(C)(C)CC3;2;0.000;2;0.00
CCCCCC(C)CCC;4;0.000;4;0.00
c1ccc(c(c1)C)C2(CC)CCCCC2;1;0.000;1;0.00
*OC(O*)C(=O)O[H];3;0.000;1;0.00
CC(C)CCC1C(C)CCCC1(C)C;1;0.000;1;0.00
[H]OC1=CC(=O)C=CC1=O;2;0.000;2;0.00
c1ccc2cc(-cccC(C)C(CC)CCC)ccc2c1;1;0.000;1;0.00
CCCC1(C)CCCC(C)C1C;1;0.000;1;0.00
cccc1ccccc1;7;0.001;7;0.01
CC12CCCC2C3CCC4CCCCC4C3CC1;3;0.000;3;0.00
CCC(C)CCC(C)C1CCC(C1)C(C)C(C)CC;1;0.000;1;0.00
c1ccc(cc1)-cc(cC)-c2ccccc2;1;0.000;1;0.00
CCCC1(C)CCCC(C)(C)C1C;3;0.000;3;0.00
cc1c2cccc3c2C(CCC3)CCC1C;1;0.000;1;0.00
CCC(C)C(C)(C)CC;1;0.000;1;0.00
CCCCCCCC;19;0.002;18;0.01
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
c1cc(c2c(c1)C(C)(CC)C(CC2)C(C)C)C(C)C;1;0.000;1;0.00
CCC(CC)CC;2;0.000;2;0.00
*C(=O)C=CN(*)*;3;0.000;3;0.00
CCCC1CCC(C)CCCCC(CC)C1;1;0.000;1;0.00
CC1C(C)(C)CCC2C1(C)CCC3C(C)(C)CCCC32C;1;0.000;1;0.00
CCC1C(C)(CC)CCC2C1(C)CCC3(C)C4CC(C)(C)CCC4(C)CCC23C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC;2;0.000;2;0.00
c1ccc(cc1)c(cCc2ccccc2)CC;3;0.000;3;0.00
c1ccc2cc(ccc2c1)C;1;0.000;1;0.00
[H]N=[cH2];1;0.000;1;0.00
*OC=O;1;0.000;1;0.00
c1ccc(cc1)c(cCC)C(c2ccccc2)C;2;0.000;2;0.00
c1ccc2c(c1)-c3ccc(cc3CC2)C;1;0.000;1;0.00
O=C;37;0.003;36;0.03
cc(c(c1cc(cc(c1)C)c(cC)C)C)CC;1;0.000;1;0.00
CCC(C)C(C)C;5;0.000;5;0.00
CCC(C)C1CCC2C(C)C(CC)CCC12C;3;0.000;3;0.00
*OC=C;4;0.000;4;0.00
*OC1OC(=O)C=CC1=C;1;0.000;1;0.00
O(C=C)C=C;2;0.000;2;0.00
*C(=O)N(*)COC(C#N)=C;1;0.000;1;0.00
CCCC1CCC2C(CCC3(C)C(CCC23)C(C)CCCC(C)C)C1C;1;0.000;1;0.00
c1ccc2c(c1)CCCC2(C)C;1;0.000;1;0.00
cc(cc1cccc(c1)C(cccc-c2ccccc2)C)-c3ccccc3;1;0.000;1;0.00
*N=CO[H];36;0.003;15;0.01
c1ccc(cc1)C2C3CC4CC(C3)CC2C4;1;0.000;1;0.00
O=CC=CC=CC=CC=CC=C;1;0.000;1;0.00
ccc(c)CCC1(C)CCCC2CCC(C)CC21;1;0.000;1;0.00
ccc1cccc(c1)C;2;0.000;2;0.00
*C(=O)N(*)C(=O)C=NC=C(O[H])N(*)C(*)=O;1;0.000;1;0.00
ccCc1ccccc1;1;0.000;1;0.00
CCCCC1CCCC2C1(C)CCC3C(C)(C)CCCC32C;1;0.000;1;0.00
CC(C)CCCC(C)C1CCC2C1CCC3C4CCCCC4CCC32;1;0.000;1;0.00
CCCC1C(C)(C)CCC2(C)C3CCC(CC)C(CC)C3(C)CCC12C;1;0.000;1;0.00
ccc1cccc(c1)CC2c3ccccc3-c4cc(cc(c4C2)CC(C)Cc5cccc(c5)CCc6ccccc6)CCCC;1;0.000;1;0.00
c1ccc(cc1)Cc2ccc(cc2)CC(c3ccccc3)C;1;0.000;1;0.00
c1ccc(cc1)C(Cc2ccc3c(c2)C4(CC)CCCCC4CC3)C(C)CCCCCCCCC;1;0.000;1;0.00
c1ccc(cc1)CCCCc2cccc(c2)CCC;1;0.000;1;0.00
CC(C)CCCCC1(C)CCCC(C)C1C;1;0.000;1;0.00
c1ccc(cc1)C2c3ccccc3CC(C)C2C;1;0.000;1;0.00
c1cc2c(c3c1C(C)(C)CCC3)CCC4(C)C5CC(C)(C)CCC5(C)CCC24C;1;0.000;1;0.00
CC1CCCCC1;4;0.000;4;0.00
ccc(c)CCC(C)C(CC)C(C)C;1;0.000;1;0.00
cccc1cccc(c1)CCC(C)C;4;0.000;4;0.00
CCCCCCCCCCCCCC;3;0.000;3;0.00
ccc1ccccc1c;1;0.000;1;0.00
CCCC1CC(C)CC1C;1;0.000;1;0.00
O=C(C1OC1)C2OC2;1;0.000;1;0.00
CCCCCCC(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C;1;0.000;1;0.00
CCCCCC(C)C;4;0.000;4;0.00
CC1CCC2(CCC3C(C)(C)CCCC3(C)C2)C1;1;0.000;1;0.00
CCCCCCCCCCCCC;3;0.000;3;0.00
cccc(c)CC;1;0.000;1;0.00
C#C;14;0.001;14;0.01
cc1ccccc1cc-c2ccccc2;1;0.000;1;0.00
*N(*)C(=S)N(*)N=C;1;0.000;1;0.00
CCCC1CCC(CC)C1(C)C;1;0.000;1;0.00
O=C1C=COC2OC12;1;0.000;1;0.00
*OC(=O)OC=C;1;0.000;1;0.00
*OC=CC(*)=O;3;0.000;3;0.00
cc(cc1cccc(c1)CCC(C)C)-c2cccc(c2)CCC(C)C;1;0.000;1;0.00
CCC1(C)CCC2(C)CCC(C)C(CC)(C2)C(C)C1;1;0.000;1;0.00
O=[cH2];161;0.013;150;0.12
CC1CCCC1;7;0.001;7;0.01
*N=C(O[H])C=C;1;0.000;1;0.00
*C(=O)OCON(*)*;1;0.000;1;0.00
C=CC=CC=CC=CC=CC=CC=C;1;0.000;1;0.00
*P(=O)(O[H])O[H];1;0.000;1;0.00
c1ccc(cc1)C(CC)CC(C)(CC)CCC;1;0.000;1;0.00
CCCC(C)C(C)C;2;0.000;2;0.00
CC(C)C;62;0.005;51;0.04
CCCCC(C)CCCC(C)C;1;0.000;1;0.00
*N=C(N(*)*)N(*)CO*;1;0.000;1;0.00
ccc(c)CC(C)CCC1(CCC(C)CC)CCC(CC(C)C1C)C(C)C2CCCC2(C)CCCC3(C)CCCCC3;1;0.000;1;0.00
c1ccc(cc1)-cccc2ccccc2;1;0.000;1;0.00
c1ccc2c(c1)-c3ccccc3C2C;1;0.000;1;0.00
c1ccc(cc1)ccc-c2ccccc2;23;0.002;22;0.02
c1ccc(cc1)CCCCCCCc2ccccc2;2;0.000;2;0.00
cc(c1ccccc1)C(c2ccccc2)C;1;0.000;1;0.00
c(cc1cc(ccc1C)CCCCCC)cCCC;1;0.000;1;0.00
c1ccc(cc1)CCccc(cCCC2CCC3CCCC(C2)C3CCC(C)C)C;1;0.000;1;0.00
c1ccc2c(c1)c3cccc(c3cc2C)CC;1;0.000;1;0.00
cc1cc(ccc1c2ccccc2)C;1;0.000;1;0.00
cccc(c)CC1CCC2(c3cc(ccc3-c4ccccc4C2)C(C)Cc5cccc(c5C)C)C1;1;0.000;1;0.00
c1ccc(c(c1)C)CCCCCCCCCC;1;0.000;1;0.00
c1cc(c(cc1C)CCC)CCC;1;0.000;1;0.00
c1ccc(cc1)CC;66;0.005;62;0.05
CCC(C)CC(C)C;1;0.000;1;0.00
ccCCCCCCCC;1;0.000;1;0.00
*OC=CC(=O)C=C;1;0.000;1;0.00
*N=C(C(*)=O)N(*)*;1;0.000;1;0.00
CCCCCCCCC1CCC2C(C)C(CCC12C)C(C)CCCC;2;0.000;2;0.00
c1ccc(cc1)c(cCC(CC)(CCc2cccc(c2)C3(CC)CC4(CCC)CCC3CC4)CCC)CC;1;0.000;1;0.00
cc(cc1cccc(c1)CC)-c2cccc(c2)C;1;0.000;1;0.00
CCC1(C)CCC(CC1C)C(C)C;1;0.000;1;0.00
