Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
*N=NC=NN(*)*;2;0.000;2;0.00
*N(*)C1=CC(=O)C=CC1=O;1;0.000;1;0.00
cccc(c)-c1ccccc1CC;3;0.000;3;0.00
cc1c(c)c(c(cc1C)Cc2ccccc2)CC;1;0.000;1;0.00
CCC(C)C1CCCC1(C)CCCC2(C)CCCCC2C;1;0.000;1;0.00
CC(C)CCCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C;14;0.000;14;0.00
CCC(C)CC1CCCC1;3;0.000;3;0.00
CCC1CCCC1(C)CC(CCC2CCCCC2)CC3(C)CCCCC43CCCC4;2;0.000;2;0.00
CCCCCCCCCCCCCCCCC1CCC2C(C)CCC2C1;3;0.000;3;0.00
CCCCCCCCCCCCCCCCCCC1CC(CCC)C(CC(C)CC)C1;2;0.000;2;0.00
c1ccc(cc1)C23c4cccc(c4CCC3CCCC2)CCC(C)Cc5ccc(cc5)CC;4;0.000;4;0.00
c1cc(ccc1CC)CC2CCC3(CCC4CC5CC(CC)C4(C)C53C)C2;2;0.000;2;0.00
c1ccc2c(c1)CCC(C2)CCCCCCCC;3;0.000;3;0.00
CC1(C)CCCC1;7;0.000;7;0.00
*[N](*)(*)C1=CC=NC1=C;13;0.000;13;0.00
c1ccc(cc1)CC(C)CCCC;15;0.000;15;0.00
c1ccc(cc1)CCC2CCC3(CCC4CCC5C6CCC(C(C)CCCC(C)C)C(C)C6CC5C4(C)C3)C2;1;0.000;1;0.00
*OS(=O)(=O)O[H];335;0.002;259;0.02
*OC(=O)N(*)C(=O)N(*)*;2;0.000;2;0.00
O=C;276;0.002;262;0.02
c1cc(c2c(c1C)CCC(C2)CC)C;18;0.000;18;0.00
CCCC(C)C1CCCC(CCC(C)C)C1;1;0.000;1;0.00
CCC(CC)C1CCC(C2CCCCC2)C3(CCCC3)C1C;3;0.000;3;0.00
[H]ON=CC#N;1;0.000;1;0.00
cCCC;12;0.000;12;0.00
c1ccc2c(c1)cc3cccc4c3c2CCC45CCC(c6ccc(cc6)CC(C)C)(CC)C5;4;0.000;4;0.00
*N(*)C(=CC=C)N(*)CSSCN(*)*;18;0.000;18;0.00
C1CCC(CC1)CCC2CCCCC2;1;0.000;1;0.00
cccc-c(ccc)cC(C)CC(C)C;2;0.000;2;0.00
C1CCC(CC1)CCCC2CCCC(C2)C(CCC3CCCCC3)C4CCCC(C4)C(CCC5CCCCC5)C6CCCCC6;1;0.000;1;0.00
CCC(C)CCC1(CCCCC1)CCCC2(C)CCCC2C(C)CCC(C)C(C)C;1;0.000;1;0.00
c1cc(cc(c1)CCCCC(C)CCCCCCCC)C;1;0.000;1;0.00
ccCc(c)c1ccccc1;1;0.000;1;0.00
*C(=O)C=C(C(*)=O)C(=CC(*)=O)C(*)=O;1;0.000;1;0.00
c1ccc(cc1)c2cC(c3cccc(c3)c(cC4CC(C)CC(CC)C4)CC)CC(CCC2)C(C)CC;1;0.000;1;0.00
*C(=O)OC(*)=O;2;0.000;2;0.00
[H]ON=CC(=O)C=C;1;0.000;1;0.00
CCC12CCC(C)CC2C(C)(C)CC1;23;0.000;23;0.00
cccc(c)-cc-c1ccccc1;1;0.000;1;0.00
c1c(cc(cc1C)C)-c2cc(cc(c2)C)C;1;0.000;1;0.00
CCC(C)C1CCC2C3CCC(C)C(C)(CC)C3CCC12C;3;0.000;3;0.00
c1ccc(cc1)CC2(C)C(C)CCC(C)C2CC;1;0.000;1;0.00
CCCCCCC1CCCCC1;6;0.000;6;0.00
*N=CC(=CO[H])C(*)=O;16;0.000;14;0.00
c1cc(cc(c1)CC(CCCC(C)CCC(C)C)C(CC)CCCCCCC)CCCC(C)C;1;0.000;1;0.00
*C(=O)C(=CO[H])C(=O)N(*)*;6;0.000;6;0.00
cc1ccccc1ccCCC;1;0.000;1;0.00
c1ccc2c(c1)c(cC(C)C)C3C(C)C(C)CCC3C2(C)C;1;0.000;1;0.00
CCCC1CC(CCCC1C)C2CCCCC2;3;0.000;3;0.00
cc(c(c1cccc(c1)C)C)C;1;0.000;1;0.00
CCC(CC(C)C)C(C)(C)CC1CCC(C)C1;1;0.000;1;0.00
cc1cc(cc(c1c)C)Cc2ccccc2;8;0.000;8;0.00
c1ccc(cc1)CC2CC34CC2CCC4CC5CC6(C)C(CC)CC5C63C;1;0.000;1;0.00
c1cc(ccc1CC)CC2CC3(CCC4CC5CC(CC)C4(C)C53C)CC2C6CCCCC6;1;0.000;1;0.00
c1ccc(cc1)C2CC3CCCC(C2)C3;1;0.000;1;0.00
CC(C)C1CC2C3(C)CCC2(C)CC1C3;1;0.000;1;0.00
CC(C)CCCC(C)C1CCC(C)C2CCC(C)CC21;13;0.000;13;0.00
c1ccc(cc1)C2(CCC2)CCC(C)C;1;0.000;1;0.00
c1ccc(cc1)CC2CCCCC2;3;0.000;3;0.00
CCC(CC)CCC(C)C;1;0.000;1;0.00
*N(*)C(=O)C=CN(*)C=C[N](*)(O[H])O[H];1;0.000;1;0.00
CCCCCC1CCC(CC1)C(C)(C)C;1;0.000;1;0.00
c1ccc(c(c1)-c2cccc(c2)CC)C;2;0.000;2;0.00
N1=CN(N=CN1C=C)C=C;1;0.000;1;0.00
CCC(CC)C1CC(C)C(CC1C)C2CCCCC2;4;0.000;4;0.00
*N(*)N(O[H])O[H];1;0.000;1;0.00
c(cC1CCCC1)cC(C)C(CC)CCC;2;0.000;2;0.00
ccccc(ccc)C;8;0.000;6;0.00
ccc-cc-c1ccccc1;1;0.000;1;0.00
cc(c(c1cccc(c1)CCC(C)C2CC(c3ccccc3)CC2CC4c5cc(ccc5C(C)C6(CCCC6)C4)CC(C)CCc7cccc8c7CCC9CCCCC89c%10ccccc%10)C)C(C)CC;2;0.000;2;0.00
c-c1ccc(cc1)-c2ccccc2;2;0.000;2;0.00
